SMILES,boiling_point,nHBAcc,nHBDon,nRot,RotRatio,SLogP,SMR,MW,AMW,WPath,WPol,Zagreb1,Zagreb2,mZagreb1,mZagreb2
string,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
meta,,,,,,,,,,,,,,,
ClC1=CC=CC=N1,170,1,0,0,0,1.735,29.247,113.003,10.273,42,5,30,31,2.36111,1.66667
OC(=O)C(F)(F)F,73,1,1,0,0,0.6333,13.6908,113.993,14.2491,42,6,30,30,5.17361,1.5
ClCC(=O)OC(=O)CCl,203,3,0,2,0.25,0.5338,32.539,169.954,13.0734,100,8,34,34,4.97222,2.33333
FC1=C(F)C(F)=C(F)C(F)=C1F,80.2,0,0,0,0,2.5212,26.19,185.99,15.4992,174,21,60,72,6.66667,2.66667
C[Si](C)(CCl)C1=CC=CC=C1,225,0,0,2,0.181818,2.38,54.278,184.048,7.66865,150,14,52,58,4.67361,2.54167
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,177,1,1,5,0.238095,3.8098,38.4258,363.977,15.8251,882,51,120,150,15.4861,4.3125
FC(F)(F)CI,54.5,0,0,0,0,1.9837,24.942,209.915,26.2394,28,3,24,22,4.3125,1.375
OCC(F)(F)C(F)(F)C(F)(F)F,95,1,1,2,0.181818,1.8116,23.0348,200.007,13.3338,175,21,60,70,8.4375,2.5
CCOC(O)C(Cl)(Cl)Cl,115.5,2,1,2,0.25,1.7115,37.9228,191.951,11.9969,92,9,38,39,5.67361,2.08333
FC(F)(Cl)CCl,46.8,0,0,1,0.2,2.0568,21.52,133.95,16.7438,28,3,24,22,4.3125,1.375
ClCCS(Cl)(=O)=O,201.5,2,0,2,0.333333,0.7938,30.3598,161.931,14.721,46,4,28,26,4.5625,1.625
FC(F)(F)CBr,26,0,0,0,0,1.9436,19.849,161.929,20.2411,28,3,24,22,4.3125,1.375
FC(F)=CCl,-18.5,0,0,0,0,1.9631,16.152,97.9735,16.3289,18,2,16,14,3.36111,1.33333
CC(C)(CCl)C1=CC=CC=C1,223,0,0,2,0.181818,3.203,50.188,168.071,7.00294,150,14,52,58,4.67361,2.54167
FC(F)OCC(F)(F)F,29.3,1,0,2,0.25,1.7879,18.011,150.01,12.5009,98,6,38,36,5.67361,1.95833
CC1=C(Cl)C=CC=C1N(=O)=O,238,2,0,1,0.0909091,2.55662,42.8434,171.009,10.0593,146,15,52,59,5.19444,2.5
FC(Cl)(Cl)I,90,0,0,0,0,2.4798,29.565,227.841,45.5681,16,0,20,16,4.0625,1
FB(F)C1=CC=CC=C1,98,0,0,1,0.111111,1.3208,34.046,126.045,9.00323,88,9,40,43,3.47222,2.11111
ClCC(Cl)C=C,116,0,0,2,0.4,2.0186,30.558,123.985,10.3321,31,4,20,19,3.61111,1.66667
CCCCC(C)Cl,122.5,0,0,3,0.5,2.8039,34.84,120.071,6.00353,52,4,24,22,3.86111,1.83333
ClC1CCCC1,114,0,0,0,0,2.1678,28.109,104.039,6.93595,26,2,26,27,2.11111,1.41667
CCC(Cl)=O,80,1,0,1,0.25,1.1618,21.151,92.0029,9.20029,18,2,16,14,3.36111,1.33333
ClC(Cl)(Cl)C1CO1,149,1,0,0,0,1.7554,30.03,159.925,15.9925,41,6,36,40,3.67361,1.41667
CCF,-37.6,0,0,0,0,0.9758,11.649,48.0375,6.00469,4,0,6,4,2.25,1
ClC1=CC=C(Cl)C=C1,174,0,0,0,0,2.9934,36.462,145.969,12.1641,62,7,36,38,3.22222,1.83333
CCCCCCCCCl,181.5,0,0,6,0.75,3.5857,44.096,148.102,5.69623,120,6,30,28,3.75,2.5
CCC(Cl)(Cl)N(=O)=O,145,2,0,2,0.285714,1.8045,31.7224,156.97,12.0746,62,9,34,36,5.42361,1.875
FC1=C(F)C(F)=C(C(F)=C1F)S(Cl)(=O)=O,210.5,2,0,1,0.0666667,2.3096,39.2708,265.923,17.7282,318,27,78,93,8.72917,3.16667
