SMILES,logS,nHBAcc,nHBDon,nRot,RotRatio,SLogP,SMR,MW,AMW,WPath,WPol,Zagreb1,Zagreb2,mZagreb1,mZagreb2
string,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
meta,,,,,,,,,,,,,,,
CC12CCC3C(CCC4CCCCC34C)C1CCC2=O,-6.7,1,0,0,0,4.9883,81.351,274.23,5.48459,689,42,120,153,6.18056,4.13889
CC(=O)OC1(CCC2C3C=C(Cl)C4=CC(=O)C=CC4(C)C3CCC12C)C(C)=O,-4.95,4,0,2,0.0645161,4.5277,106.496,402.16,7.312,1759,62,164,209,11.3264,5.8125
CCCCCCO,-1.24,1,1,4,0.666667,1.559,31.2278,102.104,4.86212,56,4,22,20,3.25,2
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,-3.36,3,2,4,0.25,1.3499,65.6794,242.109,7.12085,398,29,78,94,7.75694,3.79167
CCC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1,-1.94,6,2,4,0.210526,1.4835,70.9499,284.04,9.46801,639,24,92,105,6.75694,3.95833
O=C(C1=CC=CC=C1)C1=CC=CC=C1,-3.12,1,0,2,0.133333,2.9176,56.3165,182.073,7.58638,307,18,68,77,3.83333,3.22222
CCBr,-1.09,0,0,0,0,1.4012,19.468,107.957,13.4947,4,0,6,4,2.25,1
ClC1=CC(Cl)=C(Cl)C=C1C1=CC(Cl)=C(Cl)C=C1Cl,-8.56,0,0,1,0.0526316,7.274,81.938,357.844,16.2657,573,30,94,111,7.88889,3.88889
O=C1NC(=O)C2=CC=CC=C12,-2.61,2,1,0,0,0.5702,38.2387,147.032,9.1895,137,15,58,69,3.69444,2.41667
OC(=O)C(=C)C1=CC=CC=C1,-2.06,1,1,2,0.181818,1.7844,43.1118,148.052,7.79223,156,13,50,55,4.58333,2.55556
ClC(Cl)=C,-1.64,0,0,0,0,1.9352,20.846,95.9534,15.9922,9,0,12,9,3.11111,1
OC1=CC=CC=C1C(=O)OC1=CC=CC=C1,-3.15,3,1,2,0.117647,2.6114,59.5073,214.063,8.23319,459,21,78,88,4.94444,3.63889
CN(C)C,0.84,1,0,0,0,0.1778,19.611,59.0735,4.54412,9,0,12,9,3.11111,1
O[C@H]([C@H]1C[C@@H]2CCN1C[C@@H]2C=C)C1=CC=NC2=CC=CC=C12,-3.09,3,1,3,0.12,3.1646,88.4748,294.173,6.68575,1005,38,122,149,5.88889,4.83333
CC1=CC2=C(C=C1)C=C(C)C=C2,-4.89,0,0,0,0,3.45664,53.422,156.094,6.50391,186,16,62,71,3.94444,2.61111
CC12CCC3C(CCC4CC(O)CCC34C)C1CCC2=O,-4.16,2,1,0,0,3.9591,82.7408,290.225,5.69068,802,44,126,160,7.04167,4.30556
CC(C)I,-2.09,0,0,0,0,1.8298,29.156,169.959,15.4508,9,0,12,9,3.11111,1
CC1=CC(OC2=CC(C)=CC=C2)=CC=C1,-4.85,1,0,2,0.125,4.09574,62.432,198.104,6.83119,388,18,74,82,4.69444,3.33333
CN1C(=O)ON(C1=O)C1=CC=C(Cl)C(Cl)=C1,-2.82,5,0,1,0.0588235,1.436,59.566,259.976,11.8171,422,25,84,100,6.77778,3.47222
CC1=CC=CC(=C1)C(O)=O,-2.14,1,1,1,0.1,1.69322,38.1383,136.052,7.55847,117,11,46,50,4.33333,2.27778
CCN(CC)CC,-0.14,1,0,3,0.5,1.3481,33.462,101.12,4.59638,48,6,24,24,3.86111,2
CC(C)(C)CCO,-0.5,1,1,1,0.166667,1.4149,31.1578,102.104,4.86212,46,4,28,26,4.5625,1.625
OC1=C2C=CC=CC2=CC2=C1C=CC=C2,-4.73,1,1,0,0,3.6986,63.1188,194.073,7.76293,326,25,82,99,3.80556,3.27778
C1CCCCCCC1,-4.15,0,0,0,0,3.1208,36.936,112.125,4.67188,64,8,32,32,2,2
