SMILES,melting_point,nHBAcc,nHBDon,nRot,RotRatio,SLogP,SMR,MW,AMW,WPath,WPol,Zagreb1,Zagreb2,mZagreb1,mZagreb2
string,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
meta,,,,,,,,,,,,,,,
CON=O,-16,3,0,1,0.333333,0.3142,12.804,61.0164,8.71663,10,1,10,8,2.5,1.25
CC1=C(C)C(NN=C2C(=O)N(N=C2C(F)(F)F)C2=CC=CC=C2)=CC=C1,136,4,1,3,0.107143,4.03644,94.3917,360.12,8.78341,1657,42,138,163,9.70139,5.58333
C1=NC2=C(N=C1)N=CN=C2,139.5,4,0,0,0,0.4198,35.128,132.044,9.43169,109,12,50,57,2.22222,2.27778
O=C(CC1=CC=CC=C1)C1=CC=C2CCC3=C2C1=CC=C3,114,1,0,3,0.125,4.3638,85.8325,272.12,7.3546,905,34,116,140,5.02778,4.55556
CC(=O)C1=CC=C(C)C(C)=C1,-3,1,0,1,0.0909091,2.50604,45.9205,148.089,6.43864,152,14,52,58,5.19444,2.47222
CC(O)(P(O)(O)=O)P(O)(O)=O,199,3,5,2,0.2,-0.9922,34.712,205.975,10.8408,136,18,56,64,8.1875,2.125
CC(=O)OC1OC(=O)C2=CC=CC=C12,71,4,0,1,0.0666667,1.4187,46.3645,192.042,8.72919,289,19,72,84,5.05556,3.08333
C1=CC=C2N=CC=CC2=C1,-0.22,1,0,0,0,2.2348,41.743,129.058,7.59164,109,12,50,57,2.22222,2.27778
IC1=CC=CC(=C1)C1=CC=CC=C1,26.5,0,0,1,0.0714286,3.9582,64.595,279.975,12.7261,246,16,64,72,3.58333,2.94444
CC(C)=CCC\C(C)=C/C=C/C(/C)=C/C=C/C(/C)=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\C=C(/C)CCC=C(C)C,175,0,0,16,0.410256,12.938,185.572,536.438,5.5879,8904,43,170,174,16.3889,9.41667
[O-][N+](=O)C1=CC=CC(NN=C2C(=O)NC(=S)NC2=O)=C1,330,7,3,3,0.142857,-0.1064,73.0375,293.022,10.8527,877,29,100,114,7.77778,4.41667
CCCC=CC,-0.1,0,0,2,0.4,2.3626,29.722,84.0939,4.67188,35,3,18,16,3,1.75
[O-][N+](=O)C1=CC(=C(OC(F)(F)F)C=C1)[N+]([O-])=O,-21,5,0,3,0.176471,2.4016,46.4338,251.999,12.6,512,23,84,93,8.61806,3.625
[O-][N+](=O)C1=CC=C(CBr)C=C1,99,2,0,2,0.181818,2.4897,45.7274,214.958,12.6446,162,13,50,55,4.58333,2.61111
CC1CCC(C(C1)OC(C)=O)C(C)=C,85,2,0,2,0.142857,2.9304,56.873,196.146,5.76901,299,18,66,73,6.55556,3.13889
COC1=CC=C(F)C(CBr)=C1F,55,1,0,2,0.166667,2.8683,45.541,235.965,12.4192,187,18,56,65,5.44444,2.91667
OC1=NC2=CC=CC=C2N1,315,2,2,0,0,1.2685,37.7585,134.048,8.378,108,11,52,60,2.83333,2.19444
CC1=CSC(N)=C1C(N)=O,174,3,2,1,0.1,0.73762,41.9863,156.036,8.66865,110,12,48,55,4.94444,2.25
CC1=CC(SC2=CC(=C(O)C(C)=C2)C(C)(C)C)=CC(=C1O)C(C)(C)C,125.5,3,2,2,0.0769231,6.46084,107.211,358.197,6.51267,1480,42,134,156,12.2639,5.11111
CP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1,35,3,0,4,0.222222,3.9673,67.6705,248.06,8.26867,556,20,84,92,5.28472,3.75
CCCCCCO,-44.6,1,1,4,0.666667,1.559,31.2278,102.104,4.86212,56,4,22,20,3.25,2
COC(=O)C1=C(Cl)C=CC=C1Cl,28,2,0,1,0.0833333,2.78,47.8015,203.974,11.3319,187,17,56,64,5.44444,2.83333
ClC1=CC=CC(Cl)=C1N(=O)=O,72.5,2,0,1,0.0909091,2.9016,43.1164,190.954,13.6396,144,15,52,59,5.19444,2.5
